SipraHub Intranet MVP — Phase 1: All User Stories & Tasks,,,,,,,,,,,
Modules: Infrastructure · Auth · User Management · Announcements · Timesheets · Leave · HR Documents · Search · Dashboard · Hardening,,,,,,,,,,,
,,,,,,,,,,,
Module,Feature ID,Feature Name,User Story,Description,Priority,Story Points,Dependencies,Acceptance Criteria,Jira Type,Sprint,Status
HR Documents,HRDOC-005,Open Document in OneDrive,"As an employee, I want to click a document and have it open in OneDrive in a new tab so that I can view or download it.",Frontend renders each document as a clickable card or row. Clicking opens the stored onedrive_url in a new tab. The backend never proxies file content.,High,2,HRDOC-001,"Clicking a document opens the OneDrive URL in a new browser tab; URL is the exact stored URL; No file content is served by the backend; Broken links are a OneDrive configuration issue, not a system bug",Story,Sprint 4,To Do
HR Documents,HRDOC-006,HR Document Type Filter,"As an employee, I want to filter HR documents by type (policy, payslip, contract, etc.) so that I can quickly find what I need.",Add type filter to GET /api/hr-documents?type=policy. Frontend renders filter buttons or dropdown for each document type.,Low,3,HRDOC-001,Type filter returns only documents of that type; Multiple types can be selected; All types returns unfiltered list; Filter is applied at DB level; Frontend filter UI is responsive,Story,Sprint 4,To Do
Search,SEARCH-001,Global Search API,"As any authenticated user, I want to search across announcements, employees, and HR documents in a single query so that I can find information quickly without navigating to each module.","Implement GET /api/search?q=... . Search announcement title+body, active user name+email, and hr_documents title+type visible to the caller. Return grouped results: {announcements:[], employees:[], hr_documents:[]}. Query under 2 chars returns empty.",High,12,"ANN-001, USER-001, HRDOC-001","Query returns grouped results for announcements, employees, hr_documents; HR documents outside caller visibility are excluded; Timesheets and leave requests are never included; Query < 2 chars returns empty result (not error); Full-text search uses PostgreSQL tsvector; Response time < 500ms P95",Story,Sprint 4,To Do
Search,SEARCH-002,Search Bar (Frontend),"As an employee, I want a search bar accessible from every page so that I can search at any time without navigating away.","Add persistent search bar to the top navigation. On input (debounced 300ms), call GET /api/search. Render results in a dropdown grouped by category. Clicking a result navigates to the relevant page.",High,8,SEARCH-001,Search bar visible on all pages; Input debounced at 300ms; Results appear in grouped dropdown; Announcement result navigates to announcement; Employee result navigates to user profile; HR document result opens OneDrive link; Clearing search hides dropdown,Story,Sprint 4,To Do
Search,SEARCH-003,Search Visibility Rules Enforcement,"As a developer, I want the search API to enforce visibility rules at the database level so that no user can see data they are not allowed to access through search.",Ensure HR document query in search applies the same scope filter as HRDOC-001. Ensure inactive users are excluded from employee results. Add integration tests for search visibility.,Critical,6,SEARCH-001,Employee searching cannot find another employee's individual HR documents; Inactive users do not appear in employee results; Test: Employee A's individual doc not in Employee B's search results; Test: Deactivated user not in search results,Task,Sprint 4,To Do
Dashboard,DASH-001,Employee Dashboard,"As an employee, I want a dashboard on login that shows my key operational widgets so that I have a single overview of my work status.","Implement the authenticated landing page with: current week's timesheet status + total hours, leave balance summary, pinned announcements, and recent announcements feed.",High,8,"TS-001, LEAVE-001, ANN-001",Dashboard loads in < 2 seconds; Timesheet status widget visible; Leave balance widget visible; Latest pinned announcement visible; Recent announcements list (3–5 items) visible; All data fetched in parallel,Story,Sprint 4,To Do
Dashboard,DASH-002,Manager Dashboard,"As a manager, I want to see pending team timesheets and leave requests on my dashboard so that I can action them without navigating to separate pages.","Add manager-specific widgets: count of submitted (pending review) team timesheets, count of pending leave requests. Link to respective approval pages.",High,6,"TS-006, LEAVE-005",Manager sees submitted timesheets pending review count; Manager sees pending leave requests count; Numbers are accurate; Clicking count navigates to the list; Employee without manager role does not see these widgets,Story,Sprint 4,To Do
Hardening,HARD-001,End-to-End Permission Test Suite,"As a developer, I want a comprehensive RBAC test suite that validates every protected endpoint so that no authorization bypass can reach production.","Write automated tests covering the role matrix: every endpoint tested with each role (employee, manager, hr_admin, system_admin) and unauthenticated. Tests must pass in CI.",Critical,16,All feature stories,Test suite covers all protected endpoints; Each endpoint tested with all 4 roles and unauthenticated; RBAC violations cause CI failure; Test run takes < 3 minutes; 0 false positives on passing code,Task,Sprint 5,To Do
Hardening,HARD-002,Ownership Check Test Suite,"As a developer, I want tests confirming that employees cannot access each other's private data so that privacy is guaranteed.","Write tests for: Employee A cannot read Employee B's timesheets, leave requests, or individual HR documents. Manager cannot action non-direct-report data.",Critical,8,HARD-001,Employee A's timesheet not visible to Employee B; Employee A's leave requests not visible to Employee B; Employee A's individual HR docs not in Employee B's document list; Manager X cannot approve/reject Employee Y's leave if Y does not report to X,Task,Sprint 5,To Do
Hardening,HARD-003,State Transition Tests,"As a developer, I want tests validating all status transitions for timesheets and leave so that invalid transitions are blocked at the API level.","Test all valid and invalid status transitions for timesheets (draft?submitted?reviewed, submitted?draft) and leave (pending?approved, pending?rejected, pending?cancelled).",High,6,HARD-001,draft?submitted works for owner; submitted?reviewed works for direct manager; submitted?draft works for direct manager; reviewed?submitted is blocked (409/400); approved leave cannot be cancelled (400); Rejected leave cannot be re-approved,Task,Sprint 5,To Do
Hardening,HARD-005,Manager Mapping Verification Script,"As a system admin, I want a script that identifies users without a manager so that I can fix routing gaps before launch.","Write a CLI script that queries all active employees, identifies those with null manager_id, and outputs a report. Also check that all managers point to valid active users.",High,4,USER-001,Script runs without errors; Output lists users with null manager; Output flags managers pointing to inactive users; Report is human-readable; Can be run by system admin before launch,Task,Sprint 5,To Do
Hardening,HARD-006,Leave Balance Seed Script,"As an HR Admin, I want a seed script that pre-populates default leave balances for all employees so that employees have balances configured at launch.","Write a seed script that creates leave_balances rows for all active employees with default annual=18, sick=10 for the current year if no balance exists.",High,4,LEAVE-008,Script creates balances for all active employees with no existing record; Does not overwrite existing balances; Runs idempotently; Configurable defaults via environment variables; Prints summary of records created,Task,Sprint 5,To Do
Hardening,HARD-007,UAT Sign-off Checklist,"As a product owner, I want a structured UAT checklist executed with real users so that launch confidence is high.",Execute the 10-point verification checklist from PRD section 18 with real M365 accounts. Document pass/fail for each item. Fix any failures before launch.,Critical,8,HARD-001,All 10 checklist items tested with real accounts; Valid M365 login reaches dashboard; Deactivated user receives 403; Employee cannot see another employee's data; Manager can act on direct reports only; hr_admin cannot change roles; system_admin cannot create announcements; Submitted timesheet locked; Approved leave decrements balance once; Search never leaks unauthorized docs; All endpoint tests pass in CI,Task,Sprint 5,To Do
Hardening,HARD-008,Structured Logging & Health Endpoints,"As an ops engineer, I want structured JSON logs and health check endpoints so that the system is observable in production.","Implement /health endpoint on each service (returns 200 with process status and DB connectivity). Ensure all log output is structured JSON with request_id, user_id, action, timestamp fields.",Medium,5,INFRA-003,"GET /health returns 200 with {status: ok, db: connected}; GET /health returns 503 if DB is unreachable; All request logs are JSON with required fields; Slow queries (> 500ms) logged as warnings; Unhandled exceptions logged with stack trace",Task,Sprint 5,To Do
